,epochs,base_train_losses,base_test_losses,train_losses,test_losses,num_train_samples,num_test_samples,centered_train_losses,centered_test_losses
0,1,0.015797896688697584,0.014948445870697801,0.34790668407212716,0.2660394014335228,753,753,0.3321087873834296,0.25109095556282496
1,2,0.015802843523192427,0.014956365681401004,0.32385280688513435,0.2483350715846251,753,753,0.3080499633619419,0.23337870590322407
2,3,0.0187643111055302,0.01750158734763038,0.3051202083943336,0.2733115565176757,753,753,0.2863558972888034,0.25580996917004534
3,4,0.024478193284547516,0.024759144214481364,0.27813346380030296,0.2519438515051497,753,753,0.2536552705157554,0.22718470729066834
4,5,0.0187633150756716,0.017500622312742208,0.2742426573832766,0.24800571657632944,753,753,0.255479342307605,0.23050509426358723
5,6,0.022890098448388508,0.01902843693398551,0.2663734611403262,0.26171102957079206,753,753,0.24348336269193765,0.24268259263680655
6,7,0.018767154845049257,0.01751122383710618,0.24408958171294104,0.22276124084867563,753,753,0.22532242686789178,0.20525001701156945
7,8,0.024466395217782304,0.024756586760051467,0.23902641535835464,0.22016640586823386,753,753,0.21456002014057235,0.1954098191081824
8,9,0.022884552011625415,0.019029810265354306,0.23385799022869325,0.2329168784303927,753,753,0.21097343821706782,0.21388706816503839
9,10,0.02446212052728754,0.024759849269130524,0.21633511653372842,0.20183748389654613,753,753,0.19187299600644087,0.1770776346274156
10,11,0.024473538375766966,0.024762146762669534,0.20093618026656976,0.19065227441118335,753,753,0.1764626418908028,0.16589012764851382
11,12,0.022143284445265088,0.01890843727139242,0.21696288589854038,0.20613398261896523,753,753,0.1948196014532753,0.18722554534757282
12,13,0.01876728499591949,0.017493228903036128,0.19317600366944457,0.18033774802304423,753,753,0.1744087186735251,0.1628445191200081
13,14,0.02447612903204557,0.024751176443579378,0.17754087525188153,0.1734367972145139,753,753,0.15306474621983596,0.14868562077093453
14,15,0.022145396558979957,0.018918613896975942,0.19483418091237736,0.18866018139492194,753,753,0.1726887843533974,0.169741567497946
15,16,0.02288951527039004,0.019024298921249773,0.18643253678296823,0.1920773405481201,753,753,0.16354302151257818,0.17305304162687032
16,17,0.024469365708595675,0.024764678277865517,0.15839446304725238,0.15883541847564095,753,753,0.1339250973386567,0.13407074019777543
17,18,0.0221456560877033,0.018909282844941207,0.1768687952898844,0.17457465781953171,753,753,0.1547231392021811,0.15566537497459051
18,19,0.01876408766762432,0.017507494455024836,0.155410212207003,0.15074820738265712,753,753,0.13664612453937866,0.1332407129276323
19,20,0.02289708113272798,0.01902242823260263,0.16405351705129811,0.17369123721819235,753,753,0.14115643591857013,0.1546688089855897
20,21,0.024469081472731104,0.02475491897725471,0.14158719134220557,0.146459622255924,753,753,0.11711810986947446,0.12170470327866928
21,22,0.015795866865600326,0.014946293774996776,0.16625026261861894,0.1394479493538557,753,753,0.1504543957530186,0.12450165557885894
22,23,0.015791929224618577,0.01494933625639941,0.1546518536859283,0.13173134205684509,753,753,0.1388599244613097,0.11678200580044568
23,24,0.0187632191895071,0.017512656197646855,0.1312614287778077,0.13261791308361112,753,753,0.11249820958830059,0.11510525688596426
24,25,0.018756936215119285,0.017508872529615943,0.12311933614473729,0.12665857446995307,753,753,0.104362399929618,0.10914970194033713
25,26,0.018755172603887735,0.01751120368168008,0.11631302099671682,0.12178394297160777,753,753,0.09755784839282909,0.1042727392899277
26,27,0.022146491256150185,0.01890822640262718,0.14825824692972533,0.15020525033882326,753,753,0.12611175567357516,0.13129702393619608
27,28,0.022149654676431426,0.018902536490317114,0.1413774396073666,0.14714745035784046,753,753,0.11922778493093517,0.12824491386752335
28,29,0.024471046627732057,0.024765800609860184,0.1266580512992708,0.13732997458958968,753,753,0.10218700467153874,0.1125641739797295
29,30,0.02447487005539699,0.024757774971020455,0.12074396407588295,0.13407504022179195,753,753,0.09626909402048596,0.1093172652507715
30,31,0.022886466977095076,0.019026816318806077,0.1417833410543556,0.1547797659231024,753,753,0.11889687407726053,0.13575294960429635
31,32,0.01580232947073495,0.014956705086718534,0.13422900673695667,0.12218667876294949,753,753,0.11842667726622172,0.10722997367623095
32,33,0.02445665383331742,0.02476495141340773,0.11631032621071587,0.13123595176404915,753,753,0.09185367237739844,0.10647100035064141
33,34,0.022893984020441845,0.019028233771113272,0.13580570052536103,0.15005350303709555,753,753,0.11291171650491919,0.1310252692659823
34,35,0.015797523527049665,0.014955833861038083,0.1276644465796373,0.11850902845421786,753,753,0.11186692305258764,0.10355319459317977
35,36,0.015793392431700647,0.014952430143287024,0.12264307748908997,0.11521607067951263,753,753,0.10684968505738932,0.1002636405362256
36,37,0.024471712639005275,0.02475565132754155,0.11385282931283809,0.12985569307030245,753,753,0.08938111667383282,0.1051000417427609
37,38,0.024466880910417044,0.02475578215253631,0.10989549854103949,0.12810433312427427,753,753,0.08542861763062244,0.10334855097173797
38,39,0.022147139587304483,0.018915340165331956,0.13310450891325246,0.1416574411255698,753,753,0.11095736932594798,0.12274210096023784
39,40,0.024467084370653105,0.02476455288016589,0.10675967307693195,0.12719225901229145,753,753,0.08229258870627884,0.10242770613212555
40,41,0.02447056793943576,0.024761372834988932,0.10392514097425731,0.12592178984951866,753,753,0.07945457303482155,0.10116041701452973
41,42,0.01579511421141005,0.014950919650369538,0.12129339283126896,0.11612458414083049,753,753,0.1054982786198589,0.10117366449046095
42,43,0.0221402972361638,0.018904713761548033,0.12857765589836412,0.13999663326642628,753,753,0.10643735866220032,0.12109191950487824
43,44,0.02288476026979396,0.019024496716857898,0.13495068096983212,0.14978231824881186,753,753,0.11206592070003817,0.13075782153195395
