,AIBL,AIBR,AVAL,AVAR,AVBL,AVEL,AVER,BAGL,BAGR,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMEV,SMDDL,SMDDR,SMDVL,URYDL,URYDR,URYVL,URYVR,train_test_label,time_in_seconds,tau
0,-0.41887015985611753,-0.5374835485870723,-0.4478934306390817,-0.565188541550208,-0.07088019320398037,-0.49485934118178787,-0.4658140004925279,-0.15044468433081634,-0.134075815100647,-0.3623458214199472,-0.330402531069927,-0.1850739271920906,-0.3658066487399224,-0.021984002896036386,-0.47359831670130415,-0.5618089002141982,-0.481346165102127,-0.31846970380464024,-0.01547829766476036,-0.08444312598576134,0.1270931733681457,-0.4154835962696274,-0.44214473741121463,-0.40229920480481624,-0.3407448337350618,-0.27612692074369005,-0.3104116488534233,-0.25806232938370527,train,0.0,1
1,-0.6550037548234175,-0.7589371087039881,-0.65755190981345,-0.8041307454260327,-0.03891814340218187,-0.6931459891727785,-0.6496287447059372,-0.13622643883508181,-0.16293973373700354,-0.4625336424029175,-0.4273985067232331,-0.2969562703309688,-0.48998338525686186,0.055060865166107004,-0.6830761105731731,-0.7330466832374795,-0.604051481773244,-0.4474760712514232,0.1179219880879887,-0.003410381988903838,0.2580585915631951,-0.5008681377062458,-0.5012100556681812,-0.5297676600978017,-0.45243414000044047,-0.39975325108315196,-0.42992393321027267,-0.36657387760814336,train,0.5691290600747342,1
2,-0.7878696211747386,-0.8745036252847767,-0.7694587689206426,-0.9243008284160772,-0.01795114578839671,-0.7997473366260559,-0.7528138206319932,-0.11944563107728995,-0.18681166351916284,-0.5166896694275521,-0.4799966584695302,-0.3608743727995901,-0.5511034856694172,0.10238647533061565,-0.8007087478059681,-0.8139267588962549,-0.6735487856011624,-0.5249111405284134,0.19481825360759286,0.050783242591442096,0.3220890900914244,-0.5416887468581124,-0.5315849863961286,-0.6029554918116522,-0.5224366402450128,-0.486116610616233,-0.5088730176715333,-0.4250760616758711,train,1.1382581201494684,1
3,-0.8710500027921605,-0.9370940655282083,-0.8401703127146228,-0.988172231209415,-0.014539729602200083,-0.8657621671648428,-0.8229247829286022,-0.13928938933934618,-0.23858401459942458,-0.5474391523764384,-0.5139058949243202,-0.42521836740023977,-0.5833992074070998,0.11440416722455618,-0.8598923383792852,-0.8485410202620508,-0.6958899867818198,-0.5635793654970199,0.23653760929681455,0.07688077369102767,0.33933360739647045,-0.5649219266864636,-0.5502278277187385,-0.6517631274127826,-0.570728896735042,-0.5406219033960497,-0.5538894168982694,-0.4496403206182767,train,1.7073871802242024,1
4,-0.917458086995296,-0.9738097888430253,-0.8715153567873539,-1.0200558842828522,-0.001998045141847718,-0.8919760221203286,-0.8488958778323277,-0.108424200381652,-0.2209474711028607,-0.5621777046414612,-0.5276891661198868,-0.4251628075238481,-0.5980799072224136,0.13801817003055503,-0.904491867626234,-0.8752428736303525,-0.7212076529909665,-0.5862560571922915,0.26362904882740956,0.0985650061597039,0.36481354932864263,-0.5810604426587462,-0.5650165956297799,-0.6696795122358591,-0.5855358518280807,-0.562336016598371,-0.5821993877794162,-0.4677674807058028,train,2.2765162402989367,1
5,-0.9404029127464624,-0.9890077756270523,-0.8820279288242223,-1.037625224331954,-0.014250563018149795,-0.9131979838404689,-0.8649155635517227,-0.11367236265995251,-0.23293919046086356,-0.566152403167187,-0.5414225013405909,-0.4380896170984431,-0.6019694721251652,0.1425713810503947,-0.9238073662103266,-0.8814133964442767,-0.7367047272098526,-0.5923485943014141,0.27087500342573295,0.09612037879697252,0.3683131710528931,-0.5940572742836809,-0.5728853935557363,-0.6798530406707838,-0.5970506988198855,-0.5782924709659187,-0.59472005719258,-0.47529358611066824,train,2.8456453003736706,1
6,-0.9584878252320811,-1.0090468057150588,-0.898802858773448,-1.047273118034922,-0.022582401566495713,-0.926445303776382,-0.8769573111533353,-0.10178511711713491,-0.22439754082072433,-0.5702850674821396,-0.5440866450503735,-0.44581581703983675,-0.6086644992473577,0.1433945968698788,-0.9376007023569229,-0.8879860099033817,-0.7409288491482895,-0.5988409875783972,0.27949078941561795,0.09820548623937622,0.3700116955770586,-0.6108869773684145,-0.5862810526735244,-0.6923205778846311,-0.6054835225355273,-0.5832862539690695,-0.6053185239252642,-0.4812423756953209,train,3.414774360448405,1
7,-0.9701548699729315,-1.014197892958596,-0.9030302599915787,-1.051058208153507,-0.03410890224322412,-0.9353241358078563,-0.8822192317778244,-0.11101487466384094,-0.23691365038687157,-0.5726435755537762,-0.5530517186773644,-0.45724762839639804,-0.6101802202167143,0.13760371274893587,-0.9487953887526445,-0.8833334052695251,-0.745429148364404,-0.5997630261275618,0.27302720982756484,0.09442160032923938,0.3631138631633194,-0.6225570539725406,-0.5945986317947409,-0.6944196738855783,-0.6148944634057396,-0.5941821741818823,-0.6113657239474473,-0.48777242472598176,train,3.983903420523139,1
8,-0.9821739555875291,-1.024771873479177,-0.9126505258557743,-1.0556092387526586,-0.03288157533879629,-0.940920001664205,-0.8862439902059651,-0.10470797484135126,-0.22601755178144795,-0.576419546258339,-0.5551249135696344,-0.4619263834451296,-0.616627228144216,0.13873467635655742,-0.9601000806237439,-0.8872318512596197,-0.7448174943371337,-0.5969204413553424,0.2770421379451125,0.09390945823708721,0.36712796938566716,-0.6318307752013486,-0.6023823751014362,-0.6944712269510123,-0.6168536698302352,-0.596401816384573,-0.6138172111139013,-0.4884717763834347,train,4.5530324805978735,1
9,-0.9853373491788805,-1.0211557045931614,-0.9147755977947091,-1.0514722346503935,-0.03819108323505599,-0.9449470527446155,-0.885058566183849,-0.11499499867321872,-0.24047534956384234,-0.5753376606783523,-0.5624737218207937,-0.46783806341344164,-0.6150592279594445,0.12845742745318425,-0.9582635134044661,-0.8860709812836293,-0.7392276209824249,-0.5946835195552559,0.26684484222692406,0.08812887137783529,0.3578086295151667,-0.6396754511689291,-0.6124875479848007,-0.6993498260695536,-0.6188490563314686,-0.5915043507804185,-0.6135103137651877,-0.4846073973379993,train,5.122161540672607,1
